epoch,step,test0_epoch/forces_mae,test0_epoch/forces_maxabserr,test0_epoch/forces_rmse,test0_epoch/per_atom_energy_mae,test0_epoch/per_atom_energy_maxabserr,test0_epoch/per_atom_energy_rmse,test0_epoch/total_energy_mae,test0_epoch/total_energy_maxabserr,test0_epoch/total_energy_rmse,test0_epoch/weighted_sum,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_maxabserr,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
0,4,,,,,,,,,,,,,,38199.490865128515,14732.174705528778,26465.832785328646,,,,,,,,,,
0,9,,,,,,,,,,,,,,33445.07774576128,13535.073463939169,23490.075604850223,,,,,,,,,,
0,14,,,,,,,,,,,,,,29531.727962278525,10771.359003315594,20151.54348279706,,,,,,,,,,
0,19,,,,,,,,,,,,,,27439.4668032235,10357.673687159608,18898.570245191553,,,,,,,,,,
0,24,,,,,,,,,,,,,,24805.111364997952,8448.086725616364,16626.599045307157,,,,,,,,,,
0,29,,,,,,,,,,,,,,20947.834553287837,6770.261504060821,13859.04802867433,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,101.45953681075858,619.1540438536433,150.91749232410785,87.12775520237592,91.2523883345857,87.15859202148764,1829.6828592499019,1916.3001550263143,1830.330432451248,94.29364600656726
0,29,,,,,,,,,,,30845.570022803076,11419.098776129673,21132.334399466374,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,19095.889319893828,5577.7071248694565,12336.798222381642,,,,,,,,,,
1,39,,,,,,,,,,,,,,13185.843969666972,3809.805651093083,8497.824810380027,,,,,,,,,,
1,44,,,,,,,,,,,,,,10281.268971545394,2134.8608888257277,6208.064930185561,,,,,,,,,,
1,49,,,,,,,,,,,,,,6322.4836713587865,1588.9437492053037,3955.713710282045,,,,,,,,,,
1,54,,,,,,,,,,,,,,6534.404761982039,1040.3411383218886,3787.372950151964,,,,,,,,,,
1,59,,,,,,,,,,,,,,3540.701379494967,629.5236462479932,2085.1125128714802,,,,,,,,,,
